French,English
partie,part
histoire,history
chercher,search
seulement,only
demande,request
genre,kind
mois,month
frère,brother
car,because
mettre,to put
laisse,leash
eux,them
ville,city
arrivé,come
devrait,should
longtemps,long time
heures,hours
revoir,meet again
place,square
compris,understood
étaient,were
affaire,case
donner,give
type,type
leurs,their
yeux,eyes
écoute,listen
dont,whose
main,hand
côté,side
vieux,old
sois,be
tiens,here
matin,morning
pardon,sorry
venez,come
devant,in front of
vers,towards
demandé,request
mis,placed
belle,beautiful
droit,law
aujourd'hui,today
mari,husband
enfin,finally
espère,hope
eau,water
attendez,Wait
parti,left
dirait,would say
terre,Earth
compte,account
donne,given
loin,far
croire,believe
chérie,sweetheart
plutôt,rather
filles,girls
jouer,to play
